author,director,ranks,title
David and Nathan Zellner’s Top10,Ken Loach,10,Kes
David and Nathan Zellner’s Top10,Jim Jarmusch,10,Dead Man
Ari Aster’s Top10,Ingmar Bergman,1,Persona
Ari Aster’s Top10,Ingmar Bergman,1,Cries and Whispers
Ari Aster’s Top10,Ingmar Bergman,1,Fanny and Alexander: Theatrical Version
Ari Aster’s Top10,Kenji Mizoguchi,2,Ugetsu
Ari Aster’s Top10,Kenji Mizoguchi,2,Sansho the Bailiff
Ari Aster’s Top10,Kenji Mizoguchi,2,The Life of Oharu
Ari Aster’s Top10,Martin Scorsese,3,The Age of Innocence
Ari Aster’s Top10,Andrew Haigh,3,45 Years
Ari Aster’s Top10,Federico Fellini,4,8½
Ari Aster’s Top10,Mike Leigh,5,Topsy-Turvy
Ari Aster’s Top10,Mike Leigh,5,Naked
Ari Aster’s Top10,Michael Powell and Emeric Pressburger,6,The Red Shoes
Ari Aster’s Top10,Michael Powell and Emeric Pressburger,6,The Life and Death of Colonel Blimp
Ari Aster’s Top10,Michael Powell and Emeric Pressburger,6,A Matter of Life and Death
Ari Aster’s Top10,Michael Powell and Emeric Pressburger,6,Black Narcissus
Ari Aster’s Top10,Michael Powell and Emeric Pressburger,6,I Know Where I’m Going!
Ari Aster’s Top10,Edward Yang,7,Yi Yi
Ari Aster’s Top10,Edward Yang,7,A Brighter Summer Day
Ari Aster’s Top10,Michael Haneke,8,The Piano Teacher
Ari Aster’s Top10,Roman Polanski,9,Cul-de-sac
Ari Aster’s Top10,Roman Polanski,9,Repulsion
Ari Aster’s Top10,Roman Polanski,9,Rosemary’s Baby
Ari Aster’s Top10,Roman Polanski,9,Macbeth
Ari Aster’s Top10,Satyajit Ray,10,Pather Panchali
Ari Aster’s Top10,Satyajit Ray,10,Aparajito
Ari Aster’s Top10,Satyajit Ray,10,Apur Sansar
Sloane Crosley’s Top10,Stanley Kubrick,1,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb"
Sloane Crosley’s Top10,Ingmar Bergman,2,Fanny and Alexander: Theatrical Version
Sloane Crosley’s Top10,Michael Powell and Emeric Pressburger,3,The Red Shoes
Sloane Crosley’s Top10,Spike Lee,4,Do the Right Thing
Sloane Crosley’s Top10,James L. Brooks,5,Broadcast News
Sloane Crosley’s Top10,Sydney Pollack,5,Tootsie
Sloane Crosley’s Top10,Alexander Mackendrick,5,Sweet Smell of Success
Sloane Crosley’s Top10,Richard Linklater,6,Dazed and Confused
Sloane Crosley’s Top10,Whit Stillman,6,Metropolitan
Sloane Crosley’s Top10,Whit Stillman,6,Barcelona
Sloane Crosley’s Top10,Noah Baumbach,6,Kicking and Screaming
Sloane Crosley’s Top10,Hal Ashby,7,Harold and Maude
Sloane Crosley’s Top10,John Cassavetes,8,A Woman Under the Influence
Sloane Crosley’s Top10,Terrence Malick,9,Days of Heaven
Sloane Crosley’s Top10,Rob Reiner,10,This Is Spinal Tap
